1,painkiller
2,ankle support
3,x-ray
4,supportive boot
5,splint or plaster
6,surgery
7,resting your heel
8,regular stretching
9,wearing well fitted shoes
10,using supportive devices
11,losing weight
12,taking regular exercise
13,raising your legs three to four times a day
14,avoiding standing for long periods of time
15,lifestyle changes
16,medication
17,price therapy
18,avoiding harm
19,painkillers
20,physiotherapy
21,self-help measures
22,emollients
23,topical corticosteroids
24,compression stockings
25,painkillers
26,ice pack
27,immobilisation
28,reduction
29,physiotherapy
30,occupational therapy
31,walking aids
32,certain types of exercise
33,anticoagulant medicines
